PLN,Stocks,Operation,Kapitał
0.0,1000,Start,2395550.0
2480850.0,0,Sell,2480850.0
1470.27,1031,Buy,2480850.0
2415226.85,0,Sell,2415226.85
1712.53,1022,Buy,2415226.85
2599043.77,0,Sell,2599043.77
1647.31,1018,Buy,2599043.77
2536233.17,0,Sell,2536233.17
2398.29,1051,Buy,2536233.17
2552334.49,0,Sell,2552334.49
1360.61,1036,Buy,2552334.49
2509164.37,0,Sell,2509164.37
484.37,1063,Buy,2509164.37
2433372.47,0,Sell,2433372.47
909.41,1041,Buy,2433372.47
2419672.91,0,Sell,2419672.91
541.07,1032,Buy,2419672.91
2385534.35,0,Sell,2385534.35
2111.35,995,Buy,2385534.35
2503123.45,0,Sell,2503123.45
452.98,1039,Buy,2503123.45
2430310.33,0,Sell,2430310.33
1146.8,1019,Buy,2430310.33
2379859.64,0,Sell,2379859.64
1450.16,1044,Buy,2379859.64
2315361.32,0,Sell,2315361.32
625.93,1013,Buy,2315361.32
2257093.56,0,Sell,2257093.56
1212.06,1025,Buy,2257093.56
2189740.81,0,Sell,2189740.81
551.69,1024,Buy,2189740.81
2156737.29,0,Sell,2156737.29
1416.09,1020,Buy,2156737.29
2019863.49,0,Sell,2019863.49
598.73,1081,Buy,2019863.49
1950376.81,0,Sell,1950376.81
382.93,1124,Buy,1950376.81
1892985.37,0,Sell,1892985.37
1682.81,1064,Buy,1892985.37
1844147.77,0,Sell,1844147.77
1342.54,1029,Buy,1844147.77
1818072.91,0,Sell,1818072.91
787.31,985,Buy,1818072.91
1907934.46,0,Sell,1907934.46
140.51,955,Buy,1907934.46
1864061.76,0,Sell,1864061.76
677.01,999,Buy,1864061.76
1814950.92,0,Sell,1814950.92
1687.92,982,Buy,1814950.92
1775553.08,0,Sell,1775553.08
705.78,965,Buy,1775553.08
1731365.73,0,Sell,1731365.73
676.17,954,Buy,1731365.73
1682206.11,0,Sell,1682206.11
450.27,964,Buy,1682206.11
1760184.07,0,Sell,1760184.07
1088.41,966,Buy,1760184.07
1722191.29,0,Sell,1722191.29
450.49,960,Buy,1722191.29
1659032.89,0,Sell,1659032.89
764.85,956,Buy,1659032.89
1635056.41,0,Sell,1635056.41
1552.66,925,Buy,1635056.41
1622383.91,0,Sell,1622383.91
1010.03,922,Buy,1622383.91
1620364.73,0,Sell,1620364.73
1601.1,901,Buy,1620364.73
1664540.76,0,Sell,1664540.76
1625.88,864,Buy,1664540.76
1684628.76,0,Sell,1684628.76
1711.31,835,Buy,1684628.76
1664496.91,0,Sell,1664496.91
176.91,800,Buy,1664496.91
1750816.91,0,Sell,1750816.91
153.15,776,Buy,1750816.91
1700563.15,0,Sell,1700563.15
1077.31,754,Buy,1700563.15
1659899.93,0,Sell,1659899.93
578.63,741,Buy,1659899.93
1767100.4,0,Sell,1767100.4
143.7,755,Buy,1767100.4
1738312.25,0,Sell,1738312.25
274.41,748,Buy,1738312.25
1702729.89,0,Sell,1702729.89
1304.29,730,Buy,1702729.89
1676661.59,0,Sell,1676661.59
1923.65,719,Buy,1676661.59
1653991.52,0,Sell,1653991.52
2028.06,686,Buy,1653991.52
1715367.94,0,Sell,1715367.94
2076.26,694,Buy,1715367.94
1722821.5,0,Sell,1722821.5
484.9,685,Buy,1722821.5
1682961.35,0,Sell,1682961.35
1536.89,669,Buy,1682961.35
1614569.48,0,Sell,1614569.48
653.38,670,Buy,1614569.48
1599896.48,0,Sell,1599896.48
2040.32,662,Buy,1599896.48
1602061.22,0,Sell,1602061.22
1575.3,649,Buy,1602061.22
1683277.08,0,Sell,1683277.08
1764.5,671,Buy,1683277.08
1621833.61,0,Sell,1621833.61
72.63,662,Buy,1621833.61
1597630.89,0,Sell,1597630.89
1855.8,659,Buy,1597630.89
1526933.37,0,Sell,1526933.37
1012.27,671,Buy,1526933.37
1525477.3,0,Sell,1525477.3
454.42,656,Buy,1525477.3
1467532.82,0,Sell,1467532.82
1846.78,644,Buy,1467532.82
1412374.22,0,Sell,1412374.22
622.86,656,Buy,1412374.22
1472863.98,0,Sell,1472863.98
1243.36,641,Buy,1472863.98
1472742.19,0,Sell,1472742.19
629.77,642,Buy,1472742.19
1449925.51,0,Sell,1449925.51
1878.45,659,Buy,1449925.51
